Name,Ortnr/Stationsnr,Latitude,Longitude,Elevation,Time zone,Dry bulb min winter,Dry bulb max winter,Wet bulb max winter,Wind direction winter,Wind speed winter,Dry bulb min summer,Dry bulb max summer,Wet bulb max summer,Wind direction summer,Wind speed summer,Country,Source,Design data file,Type,
Ängelhom,026070,56.28,12.08,18,1,-11.6,-7.1,-7.8,130,2.1,13.8,26.9,18.7,130,4.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Arjeplog,021240,66.05,17.87,432,1,-30.9,-23.4,-23.6,90,0.2,12.2,22.6,15.2,180,2.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Bjuröklubb,022960,64.48,21.58,43,1,-21.4,-18.6,-18.9,340,4.4,16.5,22.1,16.3,180,4.7,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Falsterbo,026160,55.38,12.82,5,1,-7.4,-4.9,-6.1,30,4.3,17.1,24.4,19.2,100,4.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Fårö,025880,57.9,19.17,8,1,-8.9,-5.6,-6.6,340,5,15.8,24,17.8,180,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Fränsta,023420,62.5,16.18,75,1,-29.8,-21.3,-21.5,20,0,10.4,26.8,17.1,180,2.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gäddede,022220,64.5,14.17,330,1,-27.3,-21.1,-21.3,0,0.2,10,24,16,180,2.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Göteborg - Landvetter,025260,57.67,12.28,155,1,-13.2,-8.4,-8.9,30,3.3,14,26.1,17.3,210,4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Göteborg - Säve,025120,57.78,11.88,16,1,-14,-8.8,-9.2,60,1.2,13.4,26,18,270,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gotska Sandön,025840,58.4,19.2,17,1,-8.5,-5.6,-6.54,90,4.7,18.1,23.9,18.4,180,4,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Gunnarn,021280,65.02,17.68,283,1,-31.8,-23.2,-23.4,320,0.2,11.1,24.6,15.6,270,2.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Haparanda,021960,65.83,24.15,6,1,-27,-19.4,-19.7,0,0.9,13.5,23.5,16.2,180,3.1,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Harstena,025860,58.25,17.02,18,1,-12.7,-9.7,-10.2,320,4.4,17.9,23.9,18.3,160,3.9,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Hemavan - Gierevarto,021040,65.78,15.07,793,1,-29,-25.8,-25.8,130,3.1,13.6,20,13.4,150,4.2,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Hoburg,026800,56.92,18.15,39,1,-7.7,-5,-6.3,20,5.1,17.5,23.7,17.4,90,4.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Holmögadd,022880,63.6,20.75,6,1,-19.1,-15.1,-15.5,0,3.5,16,20.8,16.9,200,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Jokkmokk (SWE-AFB),021420,66.63,19.65,264,1,-34,-24.6,-24.7,180,0.1,11.6,23.2,15.7,90,3.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Jönköping - Axamo,025500,57.75,14.08,224,1,-17.8,-11.8,-12,270,1.7,11.3,26.8,17.2,70,3.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Karlstad flygplats,024180,59.45,13.47,100,1,-18.5,-12.7,-13.1,0,1.4,13.8,26.3,17.7,190,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Katterjåkk,020200,68.42,18.17,517,1,-25.9,-19.9,-20.1,230,0.7,10.6,20.6,13.6,200,3.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Kirkenes,010890,69.73,29.9,91,1,-27.1,-20.6,-20.6,160,3.4,11.8,22.8,14.7,210,4.9,Norway,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Kiruna,020440,67.82,20.33,447,1,-29.8,-22.1,-22.3,220,1.8,10.8,22.1,14.6,190,3.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Kvikkjokk-Årrenjarka,021200,66.88,17.75,315,1,-33.4,-24.9,-25,0,0.6,9.8,23.2,15.2,180,2.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Lainio,020860,67.77,22.35,325,1,-31,-23.5,-23.8,320,1.1,11.7,22,14.6,140,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Landsort,025820,58.75,17.87,20,1,-10.7,-8.95,-9.55,340,6.8,18.7,22.2,18.7,230,4.4,Sverige,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Linköping - Malmslätt,025620,58.4,15.53,93,1,-16.4,-11.3,-11.6,200,1.4,13.5,27.3,18.4,280,3.2,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Ljungbyhed (SWE-AFB),026300,56.08,13.23,52,1,-13.9,-8.8,-9.3,300,1.6,12.9,27.3,18.1,320,3.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Luleå - Kallax,021860,65.55,22.13,17,1,-26.8,-18.8,-19,330,1.3,14.4,24,17,180,3.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Målilla,025660,57.4,15.82,98,1,-18.8,-13.5,-13.8,340,0.6,11.5,29.2,17.9,230,2.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Malmö - Sturup,026360,55.52,13.37,155,1,-11.9,-7.7,-8.1,340,2.9,13.5,26.2,18.4,140,4.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Malung,024100,60.68,13.72,308,1,-25.6,-16.7,-17,0,0.7,10.1,26.4,16.9,180,2.1,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Osby,026260,56.37,13.95,85,1,-16.5,-11.1,-11.6,0,1,11.9,27,19.1,140,2.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Östersund - Frösön,022260,63.2,14.5,359,1,-23.2,-17.5,-17.7,100,1.3,13.4,24.1,15.9,130,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Östmark,024000,60.35,12.65,310,1,-20.9,-15.7,-16,320,0.7,12.1,26.2,16.9,230,3.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Pajala,020960,67.22,23.4,168,1,-31.7,-23.3,-23.5,320,0.4,12.5,25.2,16,180,2.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Ronneby,026640,56.27,15.27,58,1,-13.6,-8.8,-9.2,10,2.1,13.2,27.1,18.7,230,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Särna,023160,61.7,13.18,425,1,-31.1,-22.1,-22.4,320,0.5,9.1,24.4,15.6,180,2.6,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Såtenäs,025200,58.43,12.72,54,1,-14.8,-10.2,-10.6,60,1.4,13.3,25.8,18.5,0,3.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Singö,024740,60.17,18.75,14,1,-15.6,-10.6,-10.9,270,2.8,15.3,26.1,17.5,180,4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Söderhamn (SWE-AFB),023760,61.27,17.1,36,1,-19.8,-14.2,-14.8,300,2.9,13.3,26.1,17.2,130,4.1,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Stockholm - Arlanda,024600,59.62,17.95,61,1,-17,-11.3,-11.6,250,2.1,14.9,28,18.1,220,4.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Stockholm - Bromma,024640,59.37,17.9,14,1,-16.1,-10.5,-10.9,290,1.5,15.3,27.8,18.2,210,3.8,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Storlien,022060,63.3,12.12,644,1,-21.2,-16.2,-16.5,100,1,10.3,21.5,13.8,200,4.1,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Sveg,023240,62.02,14.37,363,1,-26.9,-19.9,-20.1,230,0.2,10.7,26.1,16.8,230,3.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Svenska Högarna,024960,59.45,19.5,12,1,-9.7,-7,-7.8,20,9.1,18.3,23.1,18.7,180,4.4,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Tromsö¸/Langnes,010250,69.68,18.92,10,1,-13,-8.3,-9.1,60,1.7,11.2,20.8,15.1,0,3.5,Norway,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Umeå,022860,63.8,20.28,8,1,-24.4,-16.2,-16.5,320,1.3,11.9,24.4,17.4,200,4.3,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Ungskär,026660,56.03,15.8,3,1,-10.1,-7.2,-7.8,320,4.9,17.5,22.9,19.3,50,5.2,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Uppsala,024580,59.9,17.6,21,1,-19.1,-13.1,-13.4,310,1,13.2,27.3,18.6,230,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Västerås - Hasslö AFB,024460,59.58,16.63,31,1,-18.4,-12.2,-12.7,0,1,13.7,27.8,18.1,200,3.5,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Visby,025900,57.67,18.35,47,1,-10.4,-6.3,-7.1,40,3.6,14.8,25.2,17.6,110,4.9,Sweden,ASHRAE Fundamentals 2013,TRUE,IWEC2,
Värlöse (Copenhagen),Nan,55.767,12.317,19,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Denmark,Unknown,FALSE,TRY,
Goteborg Landvetter,025260,57.667,12.3,169,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,ASHRAE 2001,FALSE, IWEC,
Karlstad,024180,59.367,13.467,55,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,ASHRAE 2001,FALSE, IWEC,
Kiruna,020440,67.817,20.333,452,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,ASHRAE 2001,FALSE, IWEC,
Ostersund/Froson,022260,63.183,14.5,370,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,ASHRAE 2001,FALSE, IWEC,
Stockholm Arlanda,024600,59.65,17.95,61,1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,ASHRAE 2001,FALSE, IWEC,
Abisko,102023,68.36,18.82,Nan,1,-25.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Adelsö,102627,59.36,17.52,Nan,1,-17.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Ale,102252,57.92,12.06,Nan,1,-13.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Alingsås,102204,57.93,12.54,Nan,1,-15.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Alvesta,102332,56.9,14.56,Nan,1,-15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Aneby,102343,57.84,14.82,Nan,1,-16,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Arboga,102601,59.39,15.85,Nan,1,-18.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Arjeplog,102001,66.05,17.88,Nan,1,-31.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Arvidsjaur,102002,65.59,19.17,Nan,1,-29.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Arvika,102503,59.65,12.61,Nan,1,-21.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Askersund,102512,58.88,14.91,Nan,1,-16.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Avesta,102702,60.14,16.2,Nan,1,-19.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bengtsfors,102223,59.03,12.22,Nan,1,-17.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bjurholm,102912,63.93,19.22,Nan,1,-25.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bjuv,102128,56.08,12.94,Nan,1,-11,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Boden,102006,65.82,21.7,Nan,1,-29.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bollebygd,102243,57.67,12.57,Nan,1,-15.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bollnäs,102718,61.35,16.39,Nan,1,-21.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Borgholm,102308,56.88,16.66,Nan,1,-11.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Borlänge,102707,60.47,15.46,Nan,1,-20.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Borås,102206,57.73,12.95,Nan,1,-15.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Botkyrka,102623,59.18,17.91,Nan,1,-15.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Broby,102130,56.26,14.08,Nan,1,-13.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bromölla,102114,56.08,14.47,Nan,1,-11.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Bräcke,102803,62.75,15.42,Nan,1,-26,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Burlöv,102138,55.63,13.08,Nan,1,-10.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Båstad,102132,56.42,12.85,Nan,1,-12.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Charlottenberg,102521,59.89,12.31,Nan,1,-21.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Danderyd,102646,59.4,18.08,Nan,1,-16,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Degerfors,102532,59.23,14.43,Nan,1,-18.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Delsbo,102724,61.83,16.54,Nan,1,-22.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Dorotea,102901,64.26,16.42,Nan,1,-29.2,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Ed,102222,58.91,11.94,Nan,1,-16.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Edsbyn,102717,61.36,15.72,Nan,1,-23.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Eksjö,102322,57.67,14.97,Nan,1,-15.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Emmaboda,102341,56.63,15.54,Nan,1,-14.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Enköping,102606,59.64,17.09,Nan,1,-18.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Eskilstuna,102417,59.37,16.5,Nan,1,-18.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Eslöv,102107,55.84,13.31,Nan,1,-11.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Essunga,102244,58.19,12.72,Nan,1,-15.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Fagersta,102603,60,15.81,Nan,1,-19.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Falkenberg,102313,56.9,12.5,Nan,1,-12.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Falköping,102215,58.17,13.55,Nan,1,-16.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Falsterbo,102121,55.38,12.82,Nan,1,-9.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Falun,102708,60.6,15.67,Nan,1,-21,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Filipstad,102509,59.71,14.17,Nan,1,-20.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Films Kyrkby,102631,60.24,17.91,Nan,1,-17.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Finspång,102408,58.71,15.77,Nan,1,-17.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Flen,102412,59.06,16.6,Nan,1,-17.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Forshaga,102528,59.53,13.47,Nan,1,-20.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Fredrika,102903,64.07,18.37,Nan,1,-28.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Färgelanda,102249,58.57,11.99,Nan,1,-15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Föllinge,102820,63.68,14.61,Nan,1,-23,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Gagnef,102725,60.55,15.13,Nan,1,-21.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Gislaved,102317,57.3,13.55,Nan,1,-15.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
